MWT1,POS1,MWT2,POS2,SWT1,SWT2,Rel
teneur en gaz,N P N,teneur en méthane,N P N,gaz,méthane,HYP
centre de la terre,N P N,écosystème au centre,N P N,terre,écosystème,HYP
puits de carbone,N P N,puits de gaz,N P N,carbone,gaz,HYP
surface de la terre,N P N,surface de la planète,N P N,terre,planète,HYP
quantité de bois,N P N,quantité de matière,N P N,bois,matière,HYP
carbone sur terre,N P N,carbone de la planète,N P N,terre,planète,HYP
inventaire de la biodiversité,N P N,inventaire de la diversité,N P N,biodiversité,diversité,HYP
climat sur terre,N P N,climat de la planète,N P N,terre,planète,HYP
agriculture au développement,N P N,culture du développement,N P N,agriculture,culture,HYP
substitution du carbone,N P N,gaz de substitution,N P N,carbone,gaz,HYP
niveau sur la biodiversité,N P N,niveau de diversité,N P N,biodiversité,diversité,HYP
coeur du marais,N P N,zone coeur,N N,marais,zone,HYP
filière biocarburant,N N,filière éthanol,N N,biocarburant,éthanol,HYP
décomposition du bois,N P N,décomposition de la matière,N P N,bois,matière,HYP
perte pour la biodiversité,N P N,perte de diversité,N P N,biodiversité,diversité,HYP
exploitation des stocks,N P N,surexploitation des stocks,N P N,exploitation,surexploitation,HYP
consommation dans les pays,N P N,surconsommation des pays,N P N,consommation,surconsommation,HYP
forêt au lieu,N P N,écosystème au lieu,N P N,forêt,écosystème,HYP
absorption du carbone,N P N,absorption des gaz,N P N,carbone,gaz,HYP
préservation de la terre,N P N,préservation de la planète,N P N,terre,planète,HYP
activité de la filière,N P N,filière agriculture,N N,activité,agriculture,HYP
agriculture française,N A,culture française,N A,agriculture,culture,HYP
zones de terre,N P N,zones de la planète,N P N,terre,planète,HYP
place à la culture,N P N,activité sur place,N P N,culture,activité,HYP
production de carbone,N P N,production de gaz,N P N,carbone,gaz,HYP
émissions carbone,N N,émissions en gaz,N P N,carbone,gaz,HYP
culture politique,N A,activité politique,N A,culture,activité,HYP
charbon propre,N A,combustible propre,N A,charbon,combustible,HYP
activité maraîchère,N A,agriculture maraîchère,N A,activité,agriculture,HYP
peuples de la terre,N P N,peuples de la planète,N P N,terre,planète,HYP
terre dans les années,N P N,planète dans les années,N P N,terre,planète,HYP
terre viable,N A,écosystème viable,N A,terre,écosystème,HYP
biodiversité culturelle,N A,diversité culturelle,N A,biodiversité,diversité,HYP
projets bois,N N,matière de projets,N P N,bois,matière,HYP
combustion de carbone,N P N,gaz de combustion,N P N,carbone,gaz,HYP
carbone sous forme,N P N,forme de gaz,N P N,carbone,gaz,HYP
protection du bois,N P N,protection en matière,N P N,bois,matière,HYP
activité dans un secteur,N P N,secteur agriculture,N N,activité,agriculture,HYP
agriculture dans les régions,N P N,régions de culture,N P N,agriculture,culture,HYP
biodiversité dans une nature,N P N,diversité de la nature,N P N,biodiversité,diversité,HYP
conférence sur la biodiversité,N P N,conférence sur la diversité,N P N,biodiversité,diversité,HYP
question de la culture,N P N,activité en question,N P N,culture,activité,HYP
contraire de la culture,N P N,activité contraire,N A,culture,activité,HYP
population du continent,N P N,population en zone,N P N,continent,zone,HYP
biodiversité dans le monde,N P N,diversité du monde,N P N,biodiversité,diversité,HYP
biodiversité régionale,N A,diversité régionale,N A,biodiversité,diversité,HYP
terre rouge,N A,planète rouge,N A,terre,planète,HYP
activité familiale,N A,agriculture familiale,N A,activité,agriculture,HYP
eau dans le puits,N P N,eau dans un réservoir,N P N,puits,réservoir,HYP
récupération des bois,N P N,matière de récupération,N P N,bois,matière,HYP
bois par exemple,N P N,exemple en matière,N P N,bois,matière,HYP
combustion de carbone,N P N,combustion du gaz,N P N,carbone,gaz,HYP
agriculture biologique,N A,culture biologique,N A,agriculture,culture,HYP
ans de la catastrophe,N P N,ans après feu,N P N,catastrophe,feu,HYP
transport du bois,N P N,matière de transport,N P N,bois,matière,HYP
biodiversité en lien,N P N,lien avec la diversité,N P N,biodiversité,diversité,HYP
exploitation des terres,N P N,surexploitation des terres,N P N,exploitation,surexploitation,HYP
agriculture conventionnelle,N A,culture conventionnelle,N A,agriculture,culture,HYP
forêt du lac,N P N,écosystème du lac,N P N,forêt,écosystème,HYP
infrastructure canada,N N,rail canada,N N,infrastructure,rail,HYP
eau par la terre,N P N,eau sur la planète,N P N,terre,planète,HYP
recyclage du verre,N P N,matière de recyclage,N P N,verre,matière,HYP
fonction de la biodiversité,N P N,fonction de la diversité,N P N,biodiversité,diversité,HYP
biodiversité dans les processus,N P N,diversité des processus,N P N,biodiversité,diversité,HYP
préservation du bois,N P N,matière de préservation,N P N,bois,matière,HYP
forme de gaz,N P N,forme de méthane,N P N,gaz,méthane,HYP
biomasse pour la production,N P N,production de bioénergie,N P N,biomasse,bioénergie,HYP
sommet de la terre,N P N,sommet planète,N N,terre,planète,HYP
température de la terre,N P N,température de la planète,N P N,terre,planète,HYP
monde de la biodiversité,N P N,diversité du monde,N P N,biodiversité,diversité,HYP
bois des forêts,N P N,forêts en matière,N P N,bois,matière,HYP
image de la biodiversité,N P N,image de la diversité,N P N,biodiversité,diversité,HYP
importance de la biodiversité,N P N,importance de la diversité,N P N,biodiversité,diversité,HYP
sud du continent,N P N,zone sud,N A,continent,zone,HYP
vie de la terre,N P N,vie de la planète,N P N,terre,planète,HYP
secteur du bois,N P N,secteur en matière,N P N,bois,matière,HYP
dégradation du bois,N P N,dégradation de la matière,N P N,bois,matière,HYP
activité autonome,N A,agriculture autonome,N A,activité,agriculture,HYP
véhicules à carburant,N P N,véhicules à hydrogène,N P N,carburant,hydrogène,HYP
eau sous terre,N P N,eau sur la planète,N P N,terre,planète,HYP
site des marais,N P N,site en zone,N P N,marais,zone,HYP
biodiversité des sites,N P N,diversité des sites,N P N,biodiversité,diversité,HYP
chauffage biomasse,N N,combustible pour chauffage,N P N,biomasse,combustible,HYP
climat de la terre,N P N,climat de la planète,N P N,terre,planète,HYP
bois pour le chauffage,N P N,matière de chauffage,N P N,bois,matière,HYP
conservation de la biodiversité,N P N,conservation de la diversité,N P N,biodiversité,diversité,HYP
biodiversité humaine,N A,diversité humaine,N A,biodiversité,diversité,HYP
véhicules à carburant,N P N,véhicules à essence,N P N,carburant,essence,HYP
puits secondaire,N A,réservoir secondaire,N A,puits,réservoir,HYP
terre à travers,N P N,planète à travers,N P N,terre,planète,HYP
agriculture sans ogm,N P N,culture des ogm,N P N,agriculture,culture,HYP
bois suisse,N A,suisse en matière,N P N,bois,matière,HYP
diminution de la biodiversité,N P N,diminution de la diversité,N P N,biodiversité,diversité,HYP
biodiversité actuelle,N A,diversité actuelle,N A,biodiversité,diversité,HYP
stocks de carbone,N P N,stocks de gaz,N P N,carbone,gaz,HYP
terre vie,N N,vie sur la planète,N P N,terre,planète,HYP
source de bois,N P N,source de matière,N P N,bois,matière,HYP
conséquences de la sécheresse,N P N,conséquences du phénomène,N P N,sécheresse,phénomène,HYP
consommation de carburant,N P N,surconsommation de carburant,N P N,consommation,surconsommation,HYP
régions du continent,N P N,régions de la zone,N P N,continent,zone,HYP
carbone de la production,N P N,production de gaz,N P N,carbone,gaz,HYP
relation avec la biodiversité,N P N,relation entre diversité,N P N,biodiversité,diversité,HYP
biodiversité des espèces,N P N,diversité des espèces,N P N,biodiversité,diversité,HYP
gaz issu,N A,méthane issu,N A,gaz,méthane,HYP
catastrophe sans précédent,N P N,événement sans précédent,N P N,catastrophe,événement,HYP
culture globale,N A,activité globale,N A,culture,activité,HYP
exploitation des ressources,N P N,surexploitation des ressources,N P N,exploitation,surexploitation,HYP
agriculture intensive,N A,culture intensive,N A,agriculture,culture,HYP
part de la forêt,N P N,écosystème à part,N P N,forêt,écosystème,HYP
biodiversité des territoires,N P N,diversité des territoires,N P N,biodiversité,diversité,HYP
co2 sur terre,N P N,co2 de la planète,N P N,terre,planète,HYP
niveau de la forêt,N P N,écosystème au niveau,N P N,forêt,écosystème,HYP
biodiversité dans les forêts,N P N,diversité des forêts,N P N,biodiversité,diversité,HYP
terre au service,N P N,service de la planète,N P N,terre,planète,HYP
besoins en bois,N P N,besoins en matière,N P N,bois,matière,HYP
liens entre biodiversité,N P N,liens entre la diversité,N P N,biodiversité,diversité,HYP
face à la biodiversité,N P N,face à la diversité,N P N,biodiversité,diversité,HYP
rôle de la biodiversité,N P N,rôle de la diversité,N P N,biodiversité,diversité,HYP
exploitation de la biodiversité,N P N,surexploitation de la biodiversité,N P N,exploitation,surexploitation,HYP
bois pour le logement,N P N,matière de logement,N P N,bois,matière,HYP
ressources de la biodiversité,N P N,diversité des ressources,N P N,biodiversité,diversité,HYP
richesses sur terre,N P N,richesses de la planète,N P N,terre,planète,HYP
sommet sur la terre,N P N,sommet de la planète,N P N,terre,planète,HYP
forme de charbon,N P N,forme de combustible,N P N,charbon,combustible,HYP
vie sur terre,N P N,vie de la planète,N P N,terre,planète,HYP
agriculture au sein,N P N,élevage au sein,N P N,agriculture,élevage,HYP
biodiversité pour un développement,N P N,développement de la diversité,N P N,biodiversité,diversité,HYP
exploitation du bois,N P N,surexploitation du bois,N P N,exploitation,surexploitation,HYP
biodiversité exceptionnelle,N A,diversité exceptionnelle,N A,biodiversité,diversité,HYP
activité en cause,N P N,agriculture à cause,N P N,activité,agriculture,HYP
citoyens de la terre,N P N,citoyens de la planète,N P N,terre,planète,HYP
carbone en france,N P N,gaz de france,N P N,carbone,gaz,HYP
carbone en raison,N P N,raison des gaz,N P N,carbone,gaz,HYP
puits à carbone,N P N,réservoir de carbone,N P N,puits,réservoir,HYP
bois pour la construction,N P N,matière de construction,N P N,bois,matière,HYP
dégradation de la biodiversité,N P N,dégradation de la diversité,N P N,biodiversité,diversité,HYP
mesure du carbone,N P N,mesure des gaz,N P N,carbone,gaz,HYP
activité mondiale,N A,agriculture mondiale,N A,activité,agriculture,HYP
bois du parc,N P N,parc en matière,N P N,bois,matière,HYP
continent sud,N A,zone sud,N A,continent,zone,HYP
bois sous forme,N P N,forme de matière,N P N,bois,matière,HYP
biodiversité cultivée,N A,diversité cultivée,N A,biodiversité,diversité,HYP
carbone des systèmes,N P N,systèmes à gaz,N P N,carbone,gaz,HYP
interactions avec la biodiversité,N P N,diversité des interactions,N P N,biodiversité,diversité,HYP
agriculture naturelle,N A,culture naturelle,N A,agriculture,culture,HYP
volume de bois,N P N,volume de matière,N P N,bois,matière,HYP
actions biodiversité,N N,diversité des actions,N P N,biodiversité,diversité,HYP
respect de la biodiversité,N P N,respect de la diversité,N P N,biodiversité,diversité,HYP
terre vie,N N,vie de la planète,N P N,terre,planète,HYP
culture du sol,N P N,sol à une activité,N P N,culture,activité,HYP
partie de la biomasse,N P N,partie du combustible,N P N,biomasse,combustible,HYP
faveur de la culture,N P N,activité en faveur,N P N,culture,activité,HYP
source de gaz,N P N,source de combustible,N P N,gaz,combustible,HYP
type de carburant,N P N,type de combustible,N P N,carburant,combustible,HYP
bois du secteur,N P N,secteur en matière,N P N,bois,matière,HYP
eau du puits,N P N,eau du réservoir,N P N,puits,réservoir,HYP
homme sur la terre,N P N,homme sur la planète,N P N,terre,planète,HYP
bilan carbone,N N,bilan en gaz,N P N,carbone,gaz,HYP
conservation du bois,N P N,matière de conservation,N P N,bois,matière,HYP
utilité de la biodiversité,N P N,utilité de la diversité,N P N,biodiversité,diversité,HYP
biodiversité dans les activités,N P N,diversité des activités,N P N,biodiversité,diversité,HYP
matière de biodiversité,N P N,matière de diversité,N P N,biodiversité,diversité,HYP
agriculture au niveau,N P N,niveau de culture,N P N,agriculture,culture,HYP
agriculture de type,N P N,type de culture,N P N,agriculture,culture,HYP
tonnes de charbon,N P N,tonnes de combustible,N P N,charbon,combustible,HYP
biodiversité planétaire,N A,diversité planétaire,N A,biodiversité,diversité,HYP
quantité de gaz,N P N,quantité de combustible,N P N,gaz,combustible,HYP
relation entre la biodiversité,N P N,relation entre diversité,N P N,biodiversité,diversité,HYP
exploitation des sols,N P N,surexploitation des sols,N P N,exploitation,surexploitation,HYP
produits en bois,N P N,matière de produits,N P N,bois,matière,HYP
agriculture écologique,N A,culture écologique,N A,agriculture,culture,HYP
destruction de la biodiversité,N P N,destruction de la diversité,N P N,biodiversité,diversité,HYP
ressources de la terre,N P N,ressources de la planète,N P N,terre,planète,HYP
terre au service,N P N,service planète,N N,terre,planète,HYP
ressources en bois,N P N,ressource sur ressources,N P N,bois,ressource,HYP
écosystèmes de la terre,N P N,écosystèmes de la planète,N P N,terre,planète,HYP
activité face,N N,agriculture face,N N,activité,agriculture,HYP
tour de la terre,N P N,tour de la planète,N P N,terre,planète,HYP
exploitation minière,N A,surexploitation minière,N A,exploitation,surexploitation,HYP
cause de la culture,N P N,activité en cause,N P N,culture,activité,HYP
terre au niveau,N P N,écosystème au niveau,N P N,terre,écosystème,HYP
sud des marais,N P N,zone sud,N A,marais,zone,HYP
bord du camion,N P N,bord du véhicule,N P N,camion,véhicule,HYP
autoroute maritime,N A,route maritime,N A,autoroute,route,HYP
voiture classique,N A,véhicule classique,N A,voiture,véhicule,HYP
menaces contre la biodiversité,N P N,menaces sur la diversité,N P N,biodiversité,diversité,HYP
agriculture européenne,N A,culture européenne,N A,agriculture,culture,HYP
co2 dans les puits,N P N,réservoir de co2,N P N,puits,réservoir,HYP
recyclage du bois,N P N,recyclage matière,N N,bois,matière,HYP
terre morte,N A,planète morte,N A,terre,planète,HYP
agriculture dans les zones,N P N,zones de culture,N P N,agriculture,culture,HYP
cours du bois,N P N,cours en matière,N P N,bois,matière,HYP
jour sur terre,N P N,planète au jour,N P N,terre,planète,HYP
menaces sur la biodiversité,N P N,menaces sur la diversité,N P N,biodiversité,diversité,HYP
agriculture moderne,N A,élevage moderne,N A,agriculture,élevage,HYP
bois dans le parc,N P N,parc en matière,N P N,bois,matière,HYP
tonnes de gaz,N P N,tonnes de méthane,N P N,gaz,méthane,HYP
capture du carbone,N P N,capture du gaz,N P N,carbone,gaz,HYP
bilan de carbone,N P N,bilan des gaz,N P N,carbone,gaz,HYP
convention sur la biodiversité,N P N,convention sur la diversité,N P N,biodiversité,diversité,HYP
remplacement du pétrole,N P N,combustible de remplacement,N P N,pétrole,combustible,HYP
biodiversité végétale,N A,diversité végétale,N A,biodiversité,diversité,HYP
recyclage du bois,N P N,matière de recyclage,N P N,bois,matière,HYP
agriculture sur brûlis,N P N,culture sur brûlis,N P N,agriculture,culture,HYP
filière du pétrole,N P N,filière du combustible,N P N,pétrole,combustible,HYP
biodiversité dans les systèmes,N P N,diversité des systèmes,N P N,biodiversité,diversité,HYP
producteurs de bois,N P N,producteurs en matière,N P N,bois,matière,HYP
indicateurs de biodiversité,N P N,indicateurs de diversité,N P N,biodiversité,diversité,HYP
continent asiatique,N A,zone asiatique,N A,continent,zone,HYP
refroidissement de la terre,N P N,refroidissement de la planète,N P N,terre,planète,HYP
émissions en gaz,N P N,émissions de méthane,N P N,gaz,méthane,HYP
réchauffement de la terre,N P N,réchauffement de la planète,N P N,terre,planète,HYP
niveau de la biodiversité,N P N,niveau de diversité,N P N,biodiversité,diversité,HYP
biodiversité spécifique,N A,diversité spécifique,N A,biodiversité,diversité,HYP
quantité de soufre,N P N,quantité de gaz,N P N,soufre,gaz,HYP
ressources de bois,N P N,matière de ressources,N P N,bois,matière,HYP
bois avec rendement,N P N,rendement en matière,N P N,bois,matière,HYP
biodiversité face,N N,face à la diversité,N P N,biodiversité,diversité,HYP
impact des gaz,N P N,méthane à un impact,N P N,gaz,méthane,HYP
bilan de carbone,N P N,bilan en gaz,N P N,carbone,gaz,HYP
teneur en soufre,N P N,teneur en gaz,N P N,soufre,gaz,HYP
contrôle des gaz,N P N,contrôle sur le polluant,N P N,gaz,polluant,HYP
respect de la terre,N P N,respect de la planète,N P N,terre,planète,HYP
couche à ozone,N P N,couche de gaz,N P N,ozone,gaz,HYP
quantité de biomasse,N P N,quantité de combustible,N P N,biomasse,combustible,HYP
biodiversité des animaux,N P N,diversité des animaux,N P N,biodiversité,diversité,HYP
delta du fleuve,N P N,écosystème du fleuve,N P N,delta,écosystème,HYP
chauffage biomasse,N N,combustible de chauffage,N P N,biomasse,combustible,HYP
commission agriculture,N N,commission de la culture,N P N,agriculture,culture,HYP
biodiversité du vivant,N P N,diversité du vivant,N P N,biodiversité,diversité,HYP
bois de qualité,N P N,matière de qualité,N P N,bois,matière,HYP
exploitation des forêts,N P N,surexploitation des forêts,N P N,exploitation,surexploitation,HYP
pétrole sous terre,N P N,pétrole sur la planète,N P N,terre,planète,HYP
population dans le monde,N P N,population de la planète,N P N,monde,planète,QSYN
mécanisme global,N A,mécanisme mondial,N A,global,mondial,QSYN
diminution du niveau,N P N,baisse du niveau,N P N,diminution,baisse,QSYN
eau du barrage,N P N,eau du réservoir,N P N,barrage,réservoir,QSYN
rythme du déboisement,N P N,rythme de la déforestation,N P N,déboisement,déforestation,QSYN
protection de la nature,N P N,nature pour la préservation,N P N,protection,préservation,QSYN
environnement santé,N N,milieu de santé,N P N,environnement,milieu,QSYN
croissance des inégalités,N P N,accroissement des inégalités,N P N,croissance,accroissement,QSYN
notion de croissance,N P N,notion de développement,N P N,croissance,développement,QSYN
service de la conservation,N P N,service de la préservation,N P N,conservation,préservation,QSYN
zones de croissance,N P N,développement dans les zones,N P N,croissance,développement,QSYN
arbres en forêt,N P N,bois des arbres,N P N,forêt,bois,QSYN
perte des habitats,N P N,raréfaction des habitats,N P N,perte,raréfaction,QSYN
programme de protection,N P N,programme de préservation,N P N,protection,préservation,QSYN
intensification de la production,N P N,augmentation de la production,N P N,intensification,augmentation,QSYN
couverture terrestre,N A,manteau terrestre,N A,couverture,manteau,QSYN
perte des espèces,N P N,raréfaction des espèces,N P N,perte,raréfaction,QSYN
efforts pour la conservation,N P N,efforts de protection,N P N,conservation,protection,QSYN
évolution de la vie,N P N,évolution du vivant,N P N,vie,vivant,QSYN
surexploitation du bois,N P N,exploitation du bois,N P N,surexploitation,exploitation,QSYN
bouleversement des écosystèmes,N P N,perturbation des écosystèmes,N P N,bouleversement,perturbation,QSYN
caractère environnemental,N A,caractère écologique,N A,environnemental,écologique,QSYN
forêts du globe,N P N,forêts de la planète,N P N,globe,planète,QSYN
parc aquatique,N A,parc marin,N A,aquatique,marin,QSYN
impact nocif,N A,impact néfaste,N A,nocif,néfaste,QSYN
monde en matière,N P N,planète en matière,N P N,monde,planète,QSYN
électricité propre,N A,énergie propre,N A,électricité,énergie,QSYN
augmentation importante,N A,hausse importante,N A,augmentation,hausse,QSYN
croissance des villes,N P N,développement des villes,N P N,croissance,développement,QSYN
service de la croissance,N P N,service du développement,N P N,croissance,développement,QSYN
monde de ressources,N P N,ressources de la terre,N P N,monde,terre,QSYN
pauvreté dans la région,N P N,pauvreté dans les pays,N P N,région,pays,QSYN
feux dans la forêt,N P N,feux de bois,N P N,forêt,bois,QSYN
croissance des pays,N P N,pays en développement,N P N,croissance,développement,QSYN
protection contre nature,N P N,préservation de la nature,N P N,protection,préservation,QSYN
électricité en france,N P N,énergie en france,N P N,électricité,énergie,QSYN
protection des espèces,N P N,préservation des espèces,N P N,protection,préservation,QSYN
réduction des ressources,N P N,diminution des ressources,N P N,réduction,diminution,QSYN
communauté mondiale,N A,population mondiale,N A,communauté,population,QSYN
contamination des nappes,N P N,nappes par la pollution,N P N,contamination,pollution,QSYN
région de la forêt,N P N,pays de la forêt,N P N,région,pays,QSYN
environnement santé,N N,santé du milieu,N P N,environnement,milieu,QSYN
source de chaleur,N P N,énergie de source,N P N,chaleur,énergie,QSYN
lieu au monde,N P N,terre au lieu,N P N,monde,terre,QSYN
gestion conservation,N N,protection à la gestion,N P N,conservation,protection,QSYN
capture du gaz,N P N,séquestration des gaz,N P N,capture,séquestration,QSYN
conservation des races,N P N,protection des races,N P N,conservation,protection,QSYN
deal vert,N A,deal écologique,N A,vert,écologique,QSYN
conservation au titre,N P N,protection au titre,N P N,conservation,protection,QSYN
développement des zones,N P N,urbanisation des zones,N P N,développement,urbanisation,QSYN
femmes du monde,N P N,femmes sur terre,N P N,monde,terre,QSYN
disparition en france,N P N,extinction en france,N P N,disparition,extinction,QSYN
opportunités de croissance,N P N,opportunités de développement,N P N,croissance,développement,QSYN
disparition des espèces,N P N,déclin des espèces,N P N,disparition,déclin,QSYN
stockage du dioxyde,N P N,séquestration du dioxyde,N P N,stockage,séquestration,QSYN
potentiel de contamination,N P N,potentiel de pollution,N P N,contamination,pollution,QSYN
réduction de la pollution,N P N,diminution de la pollution,N P N,réduction,diminution,QSYN
site de la région,N P N,site en zone,N P N,région,zone,QSYN
environnement physique,N A,milieu physique,N A,environnement,milieu,QSYN
contamination des terres,N P N,pollution des terres,N P N,contamination,pollution,QSYN
origine du monde,N P N,origine de la terre,N P N,monde,terre,QSYN
surexploitation des réserves,N P N,exploitation des réserves,N P N,surexploitation,exploitation,QSYN
dégradation de la couche,N P N,érosion de la couche,N P N,dégradation,érosion,QSYN
réduction drastique,N A,diminution drastique,N A,réduction,diminution,QSYN
conservation durable,N A,préservation durable,N A,conservation,préservation,QSYN
eau de la planète,N P N,eau dans la terre,N P N,planète,terre,QSYN
augmentation de la population,N P N,hausse de la population,N P N,augmentation,hausse,QSYN
rayonnement gamma,N N,radiation gamma,N N,rayonnement,radiation,QSYN
protection durable,N A,préservation durable,N A,protection,préservation,QSYN
eau de la communauté,N P N,population en eau,N P N,communauté,population,QSYN
habitants de la planète,N P N,habitants sur terre,N P N,planète,terre,QSYN
région réunion,N N,réunion des pays,N P N,région,pays,QSYN
conservation du parc,N P N,préservation du parc,N P N,conservation,préservation,QSYN
cours de la région,N P N,pays au cours,N P N,région,pays,QSYN
protection en cas,N P N,cas de la préservation,N P N,protection,préservation,QSYN
intérêt de la conservation,N P N,intérêt de la préservation,N P N,conservation,préservation,QSYN
impact sur les écosystèmes,N P N,incidence sur les écosystèmes,N P N,impact,incidence,QSYN
réduction du volume,N P N,diminution du volume,N P N,réduction,diminution,QSYN
bouteilles en verre,N P N,bouteilles en plastique,N P N,verre,plastique,QSYN
augmentation de la mortalité,N P N,hausse de la mortalité,N P N,augmentation,hausse,QSYN
augmentation de la fréquence,N P N,hausse de la fréquence,N P N,augmentation,hausse,QSYN
poissons du lac,N P N,poissons en mer,N P N,lac,mer,QSYN
réduction de la superficie,N P N,diminution de la superficie,N P N,réduction,diminution,QSYN
salon global,N A,salon mondial,N A,global,mondial,QSYN
surconsommation de carburant,N P N,consommation de carburant,N P N,surconsommation,consommation,QSYN
exigences de protection,N P N,exigences de la préservation,N P N,protection,préservation,QSYN
activités de recyclage,N P N,activités de valorisation,N P N,recyclage,valorisation,QSYN
paradigme de la croissance,N P N,paradigme du développement,N P N,croissance,développement,QSYN
région minière,N A,zone minière,N A,région,zone,QSYN
gestion de la croissance,N P N,gestion du développement,N P N,croissance,développement,QSYN
consommation de charbon,N P N,consommation de gaz,N P N,charbon,gaz,QSYN
sols de la planète,N P N,sols en terre,N P N,planète,terre,QSYN
réduction de la couverture,N P N,diminution de la couverture,N P N,réduction,diminution,QSYN
individus dans le monde,N P N,individus de la planète,N P N,monde,planète,QSYN
pays du monde,N P N,pays de la planète,N P N,monde,planète,QSYN
influence humaine,N A,empreinte humaine,N A,influence,empreinte,QSYN
conservation des ressources,N P N,protection des ressources,N P N,conservation,protection,QSYN
travail sur la conservation,N P N,protection du travail,N P N,conservation,protection,QSYN
niveau sur le changement,N P N,modification du niveau,N P N,changement,modification,QSYN
augmentation des inégalités,N P N,croissance des inégalités,N P N,augmentation,croissance,QSYN
augmentation de la vitesse,N P N,vitesse de croissance,N P N,augmentation,croissance,QSYN
monde dans le futur,N P N,futur de la planète,N P N,monde,planète,QSYN
réchauffement mondial,N A,réchauffement planétaire,N A,mondial,planétaire,QSYN
conservation des ressources,N P N,préservation des ressources,N P N,conservation,préservation,QSYN
changement de statut,N P N,modification du statut,N P N,changement,modification,QSYN
diminution de la pluviométrie,N P N,baisse de la pluviométrie,N P N,diminution,baisse,QSYN
couverture de glace,N P N,couverture de neige,N P N,glace,neige,QSYN
recyclage des matériaux,N P N,récupération des matériaux,N P N,recyclage,récupération,QSYN
réduction des rejets,N P N,diminution des rejets,N P N,réduction,diminution,QSYN
humidité de la forêt,N P N,humidité du bois,N P N,forêt,bois,QSYN
contribution à la conservation,N P N,contribution à la protection,N P N,conservation,protection,QSYN
impact du climat,N P N,influence sur le climat,N P N,impact,influence,QSYN
recherche climatique,N A,recherche météorologique,N A,climatique,météorologique,QSYN
fluctuation du régime,N P N,perturbation du régime,N P N,fluctuation,perturbation,QSYN
équilibre du monde,N P N,équilibre de la planète,N P N,monde,planète,QSYN
programme de recyclage,N P N,programme de récupération,N P N,recyclage,récupération,QSYN
composition de la flore,N P N,composition de la végétation,N P N,flore,végétation,QSYN
croissance des émissions,N P N,accroissement des émissions,N P N,croissance,accroissement,QSYN
flore locale,N A,végétation locale,N A,flore,végétation,QSYN
type de changement,N P N,type de perturbation,N P N,changement,perturbation,QSYN
vitesse du changement,N P N,variation de la vitesse,N P N,changement,variation,QSYN
conversion des forêts,N P N,transformation des forêts,N P N,conversion,transformation,QSYN
augmentation du taux,N P N,croissance du taux,N P N,augmentation,croissance,QSYN
côte atlantique,N A,littoral atlantique,N A,côte,littoral,QSYN
charbon du pays,N P N,pétrole dans les pays,N P N,charbon,pétrole,QSYN
transformation entre les réseaux,N P N,réseaux de traitement,N P N,transformation,traitement,QSYN
réduction des engrais,N P N,diminution des engrais,N P N,réduction,diminution,QSYN
protection des écosystèmes,N P N,préservation des écosystèmes,N P N,protection,préservation,QSYN
hectares dans la région,N P N,hectares dans les pays,N P N,région,pays,QSYN
déchets par stockage,N P N,charge des déchets,N P N,stockage,charge,QSYN
incidence sur les forêts,N P N,influence des forêts,N P N,incidence,influence,QSYN
augmentation démographique,N A,hausse démographique,N A,augmentation,hausse,QSYN
empreinte carbone,N N,impact carbone,N N,empreinte,impact,QSYN
niveau local,N A,niveau régional,N A,local,régional,QSYN
matière de réutilisation,N P N,recyclage matière,N N,réutilisation,recyclage,QSYN
côté vert,N A,côté écologique,N A,vert,écologique,QSYN
déchets en région,N P N,déchets des pays,N P N,région,pays,QSYN
conservation des écosystèmes,N P N,préservation des écosystèmes,N P N,conservation,préservation,QSYN
rapport au monde,N P N,rapport à la terre,N P N,monde,terre,QSYN
croissance dans le monde,N P N,développement dans le monde,N P N,croissance,développement,QSYN
niveau de la planète,N P N,terre au niveau,N P N,planète,terre,QSYN
endroit sur la planète,N P N,endroit sur terre,N P N,planète,terre,QSYN
professeur de climatologie,N P N,professeur de météorologie,N P N,climatologie,météorologie,QSYN
distribution de gaz,N P N,distribution du pétrole,N P N,gaz,pétrole,QSYN
réduction des coûts,N P N,diminution des coûts,N P N,réduction,diminution,QSYN
disparition des espèces,N P N,espèces en déclin,N P N,disparition,déclin,QSYN
environnement culturel,N A,milieu culturel,N A,environnement,milieu,QSYN
empreinte énergétique,N A,impact énergétique,N A,empreinte,impact,QSYN
croissance constante,N A,hausse constante,N A,croissance,hausse,QSYN
place dans la région,N P N,place des pays,N P N,région,pays,QSYN
marché de la forêt,N P N,bois sur le marché,N P N,forêt,bois,QSYN
grâce à la croissance,N P N,développement grâce,N N,croissance,développement,QSYN
exemple de la forêt,N P N,bois par exemple,N P N,forêt,bois,QSYN
niveau de sensibilité,N P N,niveau de vulnérabilité,N P N,sensibilité,vulnérabilité,QSYN
centre de valorisation,N P N,centre de récupération,N P N,valorisation,récupération,QSYN
impact sur la production,N P N,incidence sur la production,N P N,impact,incidence,QSYN
conservation de la flore,N P N,protection de la flore,N P N,conservation,protection,QSYN
connaissances sur le monde,N P N,connaissances sur la planète,N P N,monde,planète,QSYN
augmentation annuelle,N A,croissance annuelle,N A,augmentation,croissance,QSYN
conservation des papillons,N P N,protection des papillons,N P N,conservation,protection,QSYN
chaleur nécessaire,N A,énergie nécessaire,N A,chaleur,énergie,QSYN
