Entrée,partie du discours,Terme relié,partie du discours,relation
répercussion,NN,rétroaction,NN,QSYN
répercussion,NN,empreinte,NN,QSYN
répercussion,NN,incidence,NN,QSYN
répercussion,NN,conséquence,NN,QSYN
réserve,NN,gisement,NN,QSYN
réservoir,NN,barrage,NN,QSYN
rétroaction,NN,impact,NN,QSYN
rétroaction,NN,répercussion,NN,QSYN
rétroaction,NN,effet,NN,QSYN
réutilisation,NN,réemploi,NN,QSYN
réutilisation,NN,recyclage,NN,QSYN
réutilisation,NN,valorisation,NN,QSYN
scénario,NN,simulation,NN,QSYN
scénario,NN,modèle,NN,QSYN
sensibilité,NN,vulnérabilité,NN,QSYN
sol,NN,sous-sol,NN,QSYN
sous-sol,NN,sol,NN,QSYN
station,NN,borne,NN,QSYN
stationnement,NN,parking,NN,QSYN
stationnement,NN,arrêt,NN,QSYN
stockage,NN,séquestration,NN,QSYN
stockage,NN,piégeage,NN,QSYN
stockage,NN,charge,NN,QSYN
stockage,NN,capture,NN,QSYN
stratosphère,NN,troposphère,NN,QSYN
stress,NN,perturbation,NN,QSYN
substance,NN,matière,NN,QSYN
surconsommation,NN,consommation,NN,QSYN
surconsommation,NN,gaspillage,NN,QSYN
surexploitation,NN,exploitation,NN,QSYN
sécheresse,NN,dégradation,NN,QSYN
sécheresse,NN,érosion,NN,QSYN
sécheresse,NN,désertification,NN,QSYN
séisme,NN,tempête,NN,QSYN
séisme,NN,tsunami,NN,QSYN
séquestration,NN,stockage,NN,QSYN
séquestration,NN,fixation,NN,QSYN
séquestration,NN,piégeage,NN,QSYN
séquestration,NN,capture,NN,QSYN
tempête,NN,ouragan,NN,QSYN
tempête,NN,cyclone,NN,QSYN
tempête,NN,séisme,NN,QSYN
terre,NN,monde,NN,QSYN
terre,NN,globe,NN,QSYN
tornade,NN,ouragan,NN,QSYN
tornade,NN,cyclone,NN,QSYN
tornade,NN,orage,NN,QSYN
tourbière,NN,marécage,NN,QSYN
tourbière,NN,marais,NN,QSYN
train,NN,tramway,NN,QSYN
train,NN,autobus,NN,QSYN
train,NN,métro,NN,QSYN
traitement,NN,conditionnement,NN,QSYN
trajet,NN,distance,NN,QSYN
trajet,NN,itinéraire,NN,QSYN
trajet,NN,ligne,NN,QSYN
trajet,NN,parcours,NN,QSYN
trajet,NN,voyage,NN,QSYN
trajet,NN,déplacement,NN,QSYN
tramway,NN,train,NN,QSYN
tramway,NN,métro,NN,QSYN
tramway,NN,autobus,NN,QSYN
transformation,NN,conversion,NN,QSYN
transformation,NN,traitement,NN,QSYN
troposphère,NN,stratosphère,NN,QSYN
tsunami,NN,séisme,NN,QSYN
urbanisation,NN,industrialisation,NN,QSYN
urbanisation,NN,développement,NN,QSYN
vague,NN,houle,NN,QSYN
valorisation,NN,recyclage,NN,QSYN
valorisation,NN,réemploi,NN,QSYN
valorisation,NN,réutilisation,NN,QSYN
valorisation,NN,récupération,NN,QSYN
variabilité,NN,changement,NN,QSYN
variation,NN,dérèglement,NN,QSYN
variation,NN,changement,NN,QSYN
variation,NN,fluctuation,NN,QSYN
verre,NN,plastique,NN,QSYN
verre,NN,papier,NN,QSYN
vie,NN,vivant,NN,QSYN
voie,NN,rail,NN,QSYN
voiture,NN,automobile,NN,QSYN
voyage,NN,trajet,NN,QSYN
voyage,NN,déplacement,NN,QSYN
voyage,NN,parcours,NN,QSYN
voyageur,NN,utilisateur,NN,QSYN
vulnérabilité,NN,sensibilité,NN,QSYN
végétation,NN,flore,NN,QSYN
zone,NN,région,NN,QSYN
zone,NN,milieu,NN,QSYN
écologie,NN,météorologie,NN,QSYN
écologie,NN,climatologie,NN,QSYN
écosystème,NN,biome,NN,QSYN
écosystème,NN,environnement,NN,QSYN
écosystème,NN,biosphère,NN,QSYN
électricité,NN,courant,NN,QSYN
électricité,NN,énergie,NN,QSYN
élevage,NN,culture,NN,QSYN
élevage,NN,pêche,NN,QSYN
éleveur,NN,apiculteur,NN,QSYN
éleveur,NN,cultivateur,NN,QSYN
éleveur,NN,sylviculteur,NN,QSYN
éleveur,NN,pêcheur,NN,QSYN
élévation,NN,augmentation,NN,QSYN
élévation,NN,réchauffement,NN,QSYN
élévation,NN,hausse,NN,QSYN
émission,NN,libération,NN,QSYN
énergie,NN,chaleur,NN,QSYN
énergie,NN,électricité,NN,QSYN
érosion,NN,sécheresse,NN,QSYN
érosion,NN,catastrophe,NN,QSYN
érosion,NN,désertification,NN,QSYN
érosion,NN,dégradation,NN,QSYN
éthanol,NN,biodiesel,NN,QSYN
éthanol,NN,biogaz,NN,QSYN
éthanol,NN,bioéthanol,NN,QSYN
évaporation,NN,évapotranspiration,NN,QSYN
évapotranspiration,NN,évaporation,NN,QSYN
événement,NN,phénomène,NN,QSYN
